experiment,TEST_FRAMESKIP,TEST_SIZE,NUM_OCTAVES,NUM_SCALE_LEVELS,METRIC_THRESHOLD,last frame,avg skips,max skips
0,20,10,4,3,900,201,1.50,13
1,20,100,4,3,900,1261,2.16,20
2,10,100,4,3,900,421,1.50,10
3,15,100,4,3,900,346,1.39,15
4,2,100,4,3,900,1,1.00,1
5,4,100,4,3,900,249,0.32,4
6,6,1000,4,3,900,115,0.37,6
7,8,1000,4,3,900,153,0.58,8
8,12,1000,4,3,900,349,1.21,12
9,14,1000,4,3,900,631,1.44,14
10,16,1000,4,3,900,833,1.17,16
11,18,1000,4,3,900,1261,2.44,18
12,16,1000,4,3,1000,849,1.06,18
14,16,1000,4,3,800,337,1.57,16
15,16,1000,4,3,850,337,1.62,16
16,16,1000,4,3,1100,849,0.83,16
17,16,1000,4,3,2000,2641,2.09,16
18,4,10000,4,3,2000,345,0.13,4
19,4,10000,4,3,4000,357,0.21,4
20,16,10000,4,3,4000,497,0.71,16
21,16,10000,3,3,2000,2641,2.02,16
22,16,10000,5,3,2000,2689,1.90,16
23,16,10000,6,3,2000,2641,1.93,16
24,16,10000,5,4,2000,641,0.85,16
25,16,10000,5,5,2000,2673,1.84,16
